# NODES COORDINATES # 
320 
-0.934172 0.000000 -0.356822
-0.577350 -0.577350 -0.577350
-0.934172 0.000000 0.356822
-0.356822 -0.934172 0.000000
-0.577350 -0.577350 0.577350
-0.577350 0.577350 0.577350
-0.577350 0.577350 -0.577350
-0.356822 0.934172 0.000000
0.934172 0.000000 0.356822
0.934172 0.000000 -0.356822
0.577350 -0.577350 0.577350
0.577350 -0.577350 -0.577350
0.356822 -0.934172 0.000000
0.577350 0.577350 -0.577350
0.356822 0.934172 0.000000
0.577350 0.577350 0.577350
0.000000 -0.356822 -0.934172
0.000000 0.356822 -0.934172
0.000000 0.356822 0.934172
0.000000 -0.356822 0.934172
-0.939215 -0.294256 -0.176888
-0.762327 -0.580467 -0.286211
-0.939215 -0.294256 0.176888
-0.653004 -0.757355 0.000000
-0.762327 -0.580467 0.286211
-0.762327 0.580467 0.286211
-0.762327 0.580467 -0.286211
-0.653004 0.757355 0.000000
0.939215 -0.294256 0.176888
0.939215 -0.294256 -0.176888
0.762327 -0.580467 0.286211
0.762327 -0.580467 -0.286211
0.653004 -0.757355 0.000000
0.762327 0.580467 -0.286211
0.653004 0.757355 0.000000
0.762327 0.580467 0.286211
-0.294256 -0.176888 -0.939215
-0.294256 0.176888 -0.939215
-0.294256 0.176888 0.939215
-0.294256 -0.176888 0.939215
-0.939215 0.294256 -0.176888
-0.580467 -0.286211 -0.762327
-0.757355 0.000000 0.653004
-0.176888 -0.939215 -0.294256
-0.286211 -0.762327 0.580467
-0.580467 0.286211 0.762327
-0.286211 0.762327 -0.580467
-0.176888 0.939215 0.294256
0.939215 0.294256 0.176888
0.757355 0.000000 -0.653004
0.580467 -0.286211 0.762327
0.286211 -0.762327 -0.580467
0.176888 -0.939215 0.294256
0.580467 0.286211 -0.762327
0.176888 0.939215 -0.294256
0.286211 0.762327 0.580467
0.294256 -0.176888 -0.939215
0.000000 0.653004 -0.757355
0.294256 0.176888 0.939215
0.000000 -0.653004 0.757355
-0.757355 0.000000 -0.653004
-0.286211 -0.762327 -0.580467
-0.939215 0.294256 0.176888
-0.176888 -0.939215 0.294256
-0.580467 -0.286211 0.762327
-0.286211 0.762327 0.580467
-0.580467 0.286211 -0.762327
-0.176888 0.939215 -0.294256
0.757355 0.000000 0.653004
0.939215 0.294256 -0.176888
0.286211 -0.762327 0.580467
